title,company,job_url,company_url,max_salary,currecy,start_data,end_date,views,registered
Video Editor,BharatSkool,https://unstop.com/jobs/video-editor-bharatskool-1222415,https://unstop.com/c/bharatskool-1216926,500000,fa-rupee,2024-11-13T00:00:00+05:30,2025-10-01T00:07:59+05:30,16049,63
Video Editor,Kshitiz Sanghi,https://unstop.com/jobs/video-editor-kshitiz-sanghi-1180180,https://unstop.com/c/kshitiz-sanghi-1268607,360000,fa-rupee,2024-10-15T00:00:00+05:30,2024-12-31T23:59:59+05:30,3747,6
Video Editor,Bionfit,https://unstop.com/jobs/video-editor-bionfit-1425878,https://unstop.com/c/bionfit-1494253,500000,fa-rupee,2025-03-11T00:00:00+05:30,2025-12-31T23:59:59+05:30,6191,10
Video Editor,BharatSkool,https://unstop.com/jobs/vedio-editor-bharatskool-1225516,https://unstop.com/c/bharatskool-1216926,500000,fa-rupee,2024-11-15T00:00:00+05:30,2025-10-29T00:00:00+05:30,6761,1
Video Editor,EazyGrad,https://unstop.com/jobs/video-editor-eazygrad-1267418,https://unstop.com/c/eazygrad-946072,300000,fa-rupee,2024-12-04T00:00:00+05:30,2024-12-11T00:00:00+05:30,1558,1
Video Editor,EazyGrad,https://unstop.com/jobs/video-editor-eazygrad-1228163,https://unstop.com/c/eazygrad-946072,264000,fa-rupee,2024-11-16T00:00:00+05:30,2024-11-23T00:00:00+05:30,10706,12
Video Editor,Unsung India Foundation,https://unstop.com/jobs/video-editor-unsung-india-foundation-1178082,https://unstop.com/c/unsung-india-foundation-1266762,250000,fa-rupee,2024-10-12T00:00:00+05:30,2024-11-11T00:00:00+05:30,10600,14
Video Editor,Plush Curations Pvt. Ltd.,https://unstop.com/jobs/video-editor-plush-curations-pvt-ltd-1063708,https://unstop.com/c/plush-curations-pvt-ltd-1132192,480000,fa-rupee,2024-06-29T00:00:00+05:30,2024-07-29T00:00:00+05:30,8271,8
Video Editor,BizCrum Infotech Private Limited,https://unstop.com/jobs/video-editor-bizcrum-infotech-private-limited-689838,https://unstop.com/c/bizcrum-infotech-private-limited-recruiter-career-interview-selection-process-job-profile-articles-videos-103264,8,fa-rupee,2023-06-16T00:00:00+05:30,2023-07-16T00:00:00+05:30,361,18
Video Editor cum Designer,Unstop,https://unstop.com/jobs/video-editor-cum-designer-unstop-680085,https://unstop.com/c/unstop-recruiter-career-interview-selection-process-job-profile-articles-videos-13811,600000,fa-rupee,2023-05-19T00:00:00+05:30,2023-10-31T00:00:00+05:30,26171,311
Video Editor Cum Designer,Unstop,https://unstop.com/jobs/video-editor-cum-designer-unstop-461881,https://unstop.com/c/unstop-recruiter-career-interview-selection-process-job-profile-articles-videos-13811,600000,fa-rupee,2022-10-19T14:00:00+05:30,2022-11-26T00:00:00+05:30,32906,33
Video Editor and Graphic Designer,Bijnis,https://unstop.com/jobs/video-editor-and-graphic-designer-bijnis-642501,https://unstop.com/c/bijniscom-337642,7,fa-rupee,2023-03-13T00:00:00+05:30,2023-03-20T00:00:00+05:30,12267,14
Customer Sales Associate (Male),Elegant Audio and Video Solutions,https://unstop.com/jobs/customer-sales-associate-male-elegant-audio-and-video-solutions-1359680,https://unstop.com/c/elegant-audio-and-video-solutions-1021762,300000,fa-rupee,2025-01-13T00:00:00+05:30,2025-02-12T00:00:00+05:30,8449,11
Customer Sales Associate,Elegant Audio and Video Solutions,https://unstop.com/jobs/customer-sales-associate-elegant-audio-and-video-solutions-942288,https://unstop.com/c/elegant-audio-and-video-solutions-1021762,420000,fa-rupee,2024-03-27T00:00:00+05:30,2024-04-26T00:00:00+05:30,3870,1
Content Editor,BPB Publications,https://unstop.com/jobs/content-editor-bpb-publications-1233381,https://unstop.com/c/bpb-publications-952342,400000,fa-rupee,2024-11-18T00:00:00+05:30,2024-12-31T23:59:59+05:30,9637,25
Sub-Editor,BestMediaInfo,https://unstop.com/jobs/sub-editor-bestmediainfo-1211663,https://unstop.com/c/bestmediainfo-1300786,480000,fa-rupee,2024-12-10T00:00:00+05:30,2025-01-10T00:00:00+05:30,6802,9
Content Editor,BPB Publications,https://unstop.com/jobs/content-editor-bpb-publications-861761,https://unstop.com/c/bpb-publications-952342,420000,fa-rupee,2024-01-08T00:00:00+05:30,2024-01-19T10:30:00+05:30,3207,6
Sr. Content Editor,Unstop,https://unstop.com/jobs/sr-content-editor-unstop-461668,https://unstop.com/c/unstop-recruiter-career-interview-selection-process-job-profile-articles-videos-13811,1200000,fa-rupee,2022-10-18T00:00:00+05:30,2022-11-23T00:04:00+05:30,37243,27
